sample	origin_id	id	well	concentration	rain_event	Env	soil_history	SourceSink	soil_layer	soil_event	sample_type	experiment_day	manure_and_control_soil
S_0	1_S487_L001_MINLEN-MAXLEN.q25_fixlized.fa	1_xshwaMaT0_1	A7	8.59	x	manure	x	source	x	x	hiseq	x	yes
S_1	2_S499_L001_MINLEN-MAXLEN.q25_fixlized.fa	2_xshwaMaT0_2	B7	7.17	x	manure	x	source	x	x	hiseq	x	yes
S_10	A003CoNtR1_S291_L001_MINLEN-MAXLEN.q25_fixlized.fa	A003CoNtR1	A3	3.2017	R1	water	Nt	sink	x	x	sc_samples	10	no
S_100	A093MaNtR3_S384_L001_MINLEN-MAXLEN.q25_fixlized.fa	A093MaNtR3	H12	10	R3	water	Nt	sink	x	x	sc_samples	38	no
S_101	A094MaCpR3_S385_L001_MINLEN-MAXLEN.q25_fixlized.fa	A094MaCpR3	A1	10	R3	water	Cp	sink	x	x	sc_samples	38	no
S_102	A095MaCpR3_S386_L001_MINLEN-MAXLEN.q25_fixlized.fa	A095MaCpR3	A2	10	R3	water	Cp	sink	x	x	sc_samples	38	no
S_103	A096MaCpR3_S387_L001_MINLEN-MAXLEN.q25_fixlized.fa	A096MaCpR3	A3	10	R3	water	Cp	sink	x	x	sc_samples	38	no
S_104	A097MaCpR3_S397_L001_MINLEN-MAXLEN.q25_fixlized.fa	A097MaCpR3	B1	10	R3	water	Cp	sink	x	x	sc_samples	38	no
S_105	A098MaCpR3_S398_L001_MINLEN-MAXLEN.q25_fixlized.fa	A098MaCpR3	B2	10	R3	water	Cp	sink	x	x	sc_samples	38	no
S_106	A099MaCpR3_S399_L001_MINLEN-MAXLEN.q25_fixlized.fa	A099MaCpR3	B3	10	R3	water	Cp	sink	x	x	sc_samples	38	no
S_107	A100MaCpR3_S409_L001_MINLEN-MAXLEN.q25_fixlized.fa	A100MaCpR3	C1	5.0298	R3	water	Cp	sink	x	x	sc_samples	38	no
S_108	A101MaCpR3_S410_L001_MINLEN-MAXLEN.q25_fixlized.fa	A101MaCpR3	C2	5.6964	R3	water	Cp	sink	x	x	sc_samples	38	no
S_109	A102MaCpR3_S411_L001_MINLEN-MAXLEN.q25_fixlized.fa	A102MaCpR3	C3	4.8076	R3	water	Cp	sink	x	x	sc_samples	38	no
S_11	A004CoNtR1_S301_L001_MINLEN-MAXLEN.q25_fixlized.fa	A004CoNtR1	B1	4.1915	R1	water	Nt	sink	x	x	sc_samples	10	no
S_110	A103CoNtR4_S421_L001_MINLEN-MAXLEN.q25_fixlized.fa	A103CoNtR4	D1	7.2922	R4	water	Nt	sink	x	x	sc_samples	59	no
S_111	A104CoNtR4_S422_L001_MINLEN-MAXLEN.q25_fixlized.fa	A104CoNtR4	D2	7.2316	R4	water	Nt	sink	x	x	sc_samples	59	no
S_112	A105CoNtR4_S423_L001_MINLEN-MAXLEN.q25_fixlized.fa	A105CoNtR4	D3	5.4944	R4	water	Nt	sink	x	x	sc_samples	59	no
S_113	A106CoNtR4_S433_L001_MINLEN-MAXLEN.q25_fixlized.fa	A106CoNtR4	E1	10	R4	water	Nt	sink	x	x	sc_samples	59	no
S_114	A107CoNtR4_S434_L001_MINLEN-MAXLEN.q25_fixlized.fa	A107CoNtR4	E2	10	R4	water	Nt	sink	x	x	sc_samples	59	no
S_115	A108CoNtR4_S435_L001_MINLEN-MAXLEN.q25_fixlized.fa	A108CoNtR4	E3	6.1004	R4	water	Nt	sink	x	x	sc_samples	59	no
S_116	A109CoNtR4_S445_L001_MINLEN-MAXLEN.q25_fixlized.fa	A109CoNtR4	F1	10	R4	water	Nt	sink	x	x	sc_samples	59	no
S_117	A110CoNtR4_S446_L001_MINLEN-MAXLEN.q25_fixlized.fa	A110CoNtR4	F2	10	R4	water	Nt	sink	x	x	sc_samples	59	no
S_118	A111CoNtR4_S447_L001_MINLEN-MAXLEN.q25_fixlized.fa	A111CoNtR4	F3	10	R4	water	Nt	sink	x	x	sc_samples	59	no
S_119	A112CoCpR4_S457_L001_MINLEN-MAXLEN.q25_fixlized.fa	A112CoCpR4	G1	10	R4	water	Cp	sink	x	x	sc_samples	59	no
S_12	A005CoNtR1_S302_L001_MINLEN-MAXLEN.q25_fixlized.fa	A005CoNtR1	B2	10	R1	water	Nt	sink	x	x	sc_samples	10	no
S_120	A113CoCpR4_S458_L001_MINLEN-MAXLEN.q25_fixlized.fa	A113CoCpR4	G2	10	R4	water	Cp	sink	x	x	sc_samples	59	no
S_121	A114CoCpR4_S459_L001_MINLEN-MAXLEN.q25_fixlized.fa	A114CoCpR4	G3	10	R4	water	Cp	sink	x	x	sc_samples	59	no
S_122	A115CoCpR4_S469_L001_MINLEN-MAXLEN.q25_fixlized.fa	A115CoCpR4	H1	8.4436	R4	water	Cp	sink	x	x	sc_samples	59	no
S_123	A116CoCpR4_S470_L001_MINLEN-MAXLEN.q25_fixlized.fa	A116CoCpR4	H2	5.4338	R4	water	Cp	sink	x	x	sc_samples	59	no
S_124	A117CoCpR4_S471_L001_MINLEN-MAXLEN.q25_fixlized.fa	A117CoCpR4	H3	6.565	R4	water	Cp	sink	x	x	sc_samples	59	no
S_125	A118CoCpR4_S388_L001_MINLEN-MAXLEN.q25_fixlized.fa	A118CoCpR4	A4	8.1204	R4	water	Cp	sink	x	x	sc_samples	59	no
S_126	A119CoCpR4_S389_L001_MINLEN-MAXLEN.q25_fixlized.fa	A119CoCpR4	A5	10	R4	water	Cp	sink	x	x	sc_samples	59	no
S_127	A120CoCpR4_S390_L001_MINLEN-MAXLEN.q25_fixlized.fa	A120CoCpR4	A6	6.0398	R4	water	Cp	sink	x	x	sc_samples	59	no
S_128	A121MaNtR4_S400_L001_MINLEN-MAXLEN.q25_fixlized.fa	A121MaNtR4	B4	10	R4	water	Nt	sink	x	x	sc_samples	59	no
S_129	A122MaNtR4_S401_L001_MINLEN-MAXLEN.q25_fixlized.fa	A122MaNtR4	B5	8.686	R4	water	Nt	sink	x	x	sc_samples	59	no
S_13	A006CoNtR1_S313_L001_MINLEN-MAXLEN.q25_fixlized.fa	A006CoNtR1	C1	2.8179	R1	water	Nt	sink	x	x	sc_samples	10	no
S_130	A123MaNtR4_S402_L001_MINLEN-MAXLEN.q25_fixlized.fa	A123MaNtR4	B6	8.2416	R4	water	Nt	sink	x	x	sc_samples	59	no
S_131	A124MaNtR4_S412_L001_MINLEN-MAXLEN.q25_fixlized.fa	A124MaNtR4	C4	10	R4	water	Nt	sink	x	x	sc_samples	59	no
S_132	A125MaNtR4_S413_L001_MINLEN-MAXLEN.q25_fixlized.fa	A125MaNtR4	C5	6.9084	R4	water	Nt	sink	x	x	sc_samples	59	no
S_133	A126MaNtR4_S414_L001_MINLEN-MAXLEN.q25_fixlized.fa	A126MaNtR4	C6	10	R4	water	Nt	sink	x	x	sc_samples	59	no
S_134	A127MaCpR4_S424_L001_MINLEN-MAXLEN.q25_fixlized.fa	A127MaCpR4	D4	10	R4	water	Cp	sink	x	x	sc_samples	59	no
S_135	A128MaCpR4_S425_L001_MINLEN-MAXLEN.q25_fixlized.fa	A128MaCpR4	D5	10	R4	water	Cp	sink	x	x	sc_samples	59	no
S_136	A129MaCpR4_S426_L001_MINLEN-MAXLEN.q25_fixlized.fa	A129MaCpR4	D6	10	R4	water	Cp	sink	x	x	sc_samples	59	no
S_137	A130MaCpR4_S436_L001_MINLEN-MAXLEN.q25_fixlized.fa	A130MaCpR4	E4	9.2314	R4	water	Cp	sink	x	x	sc_samples	59	no
S_138	A131MaCpR4_S437_L001_MINLEN-MAXLEN.q25_fixlized.fa	A131MaCpR4	E5	10	R4	water	Cp	sink	x	x	sc_samples	59	no
S_139	A132MaCpR4_S438_L001_MINLEN-MAXLEN.q25_fixlized.fa	A132MaCpR4	E6	9.494	R4	water	Cp	sink	x	x	sc_samples	59	no
S_14	A007CoNtR1_S314_L001_MINLEN-MAXLEN.q25_fixlized.fa	A007CoNtR1	C2	4.3127	R1	water	Nt	sink	x	x	sc_samples	10	no
S_140	A133MaCpR4_S448_L001_MINLEN-MAXLEN.q25_fixlized.fa	A133MaCpR4	F4	7.6154	R4	water	Cp	sink	x	x	sc_samples	59	no
S_141	A134MaCpR4_S449_L001_MINLEN-MAXLEN.q25_fixlized.fa	A134MaCpR4	F5	6.0802	R4	water	Cp	sink	x	x	sc_samples	59	no
S_142	A135MaCpR4_S450_L001_MINLEN-MAXLEN.q25_fixlized.fa	A135MaCpR4	F6	9.4334	R4	water	Cp	sink	x	x	sc_samples	59	no
S_143	A136CoNtR5_S460_L001_MINLEN-MAXLEN.q25_fixlized.fa	A136CoNtR5	G4	1.0134	R5	water	Nt	sink	x	x	sc_samples	80	no
S_144	A137CoNtR5_S461_L001_MINLEN-MAXLEN.q25_fixlized.fa	A137CoNtR5	G5	0.404	R5	water	Nt	sink	x	x	sc_samples	80	no
S_145	A138CoNtR5_S462_L001_MINLEN-MAXLEN.q25_fixlized.fa	A138CoNtR5	G6	10	R5	water	Nt	sink	x	x	sc_samples	80	no
S_146	A139CoNtR5_S472_L001_MINLEN-MAXLEN.q25_fixlized.fa	A139CoNtR5	H4	8.9082	R5	water	Nt	sink	x	x	sc_samples	80	no
S_147	A140CoNtR5_S473_L001_MINLEN-MAXLEN.q25_fixlized.fa	A140CoNtR5	H5	10	R5	water	Nt	sink	x	x	sc_samples	80	no
S_148	A141CoNtR5_S474_L001_MINLEN-MAXLEN.q25_fixlized.fa	A141CoNtR5	H6	6.6862	R5	water	Nt	sink	x	x	sc_samples	80	no
S_149	A142CoNtR5_S391_L001_MINLEN-MAXLEN.q25_fixlized.fa	A142CoNtR5	A7	10	R5	water	Nt	sink	x	x	sc_samples	80	no
S_15	A008CoNtR1_S315_L001_MINLEN-MAXLEN.q25_fixlized.fa	A008CoNtR1	C3	4.0501	R1	water	Nt	sink	x	x	sc_samples	10	no
S_150	A143CoNtR5_S392_L001_MINLEN-MAXLEN.q25_fixlized.fa	A143CoNtR5	A8	10	R5	water	Nt	sink	x	x	sc_samples	80	no
S_151	A144CoNtR5_S393_L001_MINLEN-MAXLEN.q25_fixlized.fa	A144CoNtR5	A9	10	R5	water	Nt	sink	x	x	sc_samples	80	no
S_152	A145CoCpR5_S403_L001_MINLEN-MAXLEN.q25_fixlized.fa	A145CoCpR5	B7	6.363	R5	water	Cp	sink	x	x	sc_samples	80	no
S_153	A146CoCpR5_S404_L001_MINLEN-MAXLEN.q25_fixlized.fa	A146CoCpR5	B8	5.8984	R5	water	Cp	sink	x	x	sc_samples	80	no
S_154	A147CoCpR5_S405_L001_MINLEN-MAXLEN.q25_fixlized.fa	A147CoCpR5	B9	4.1208	R5	water	Cp	sink	x	x	sc_samples	80	no
S_155	A148CoCpR5_S415_L001_MINLEN-MAXLEN.q25_fixlized.fa	A148CoCpR5	C7	10	R5	water	Cp	sink	x	x	sc_samples	80	no
S_156	A149CoCpR5_S416_L001_MINLEN-MAXLEN.q25_fixlized.fa	A149CoCpR5	C8	10	R5	water	Cp	sink	x	x	sc_samples	80	no
S_157	A150CoCpR5_S417_L001_MINLEN-MAXLEN.q25_fixlized.fa	A150CoCpR5	C9	10	R5	water	Cp	sink	x	x	sc_samples	80	no
S_158	A151CoCpR5_S427_L001_MINLEN-MAXLEN.q25_fixlized.fa	A151CoCpR5	D7	7.777	R5	water	Cp	sink	x	x	sc_samples	80	no
S_159	A152CoCpR5_S428_L001_MINLEN-MAXLEN.q25_fixlized.fa	A152CoCpR5	D8	10	R5	water	Cp	sink	x	x	sc_samples	80	no
S_16	A009CoCpR1_S325_L001_MINLEN-MAXLEN.q25_fixlized.fa	A009CoCpR1	D1	10	R1	water	Cp	sink	x	x	sc_samples	10	no
S_160	A153MaNtR5_S439_L001_MINLEN-MAXLEN.q25_fixlized.fa	A153MaNtR5	E7	8.9688	R5	water	Nt	sink	x	x	sc_samples	80	no
S_161	A154MaNtR5_S440_L001_MINLEN-MAXLEN.q25_fixlized.fa	A154MaNtR5	E8	10	R5	water	Nt	sink	x	x	sc_samples	80	no
S_162	A155MaNtR5_S441_L001_MINLEN-MAXLEN.q25_fixlized.fa	A155MaNtR5	E9	4.5046	R5	water	Nt	sink	x	x	sc_samples	80	no
S_163	A156MaNtR5_S451_L001_MINLEN-MAXLEN.q25_fixlized.fa	A156MaNtR5	F7	1.7978	R5	water	Nt	sink	x	x	sc_samples	80	no
S_164	A157MaNtR5_S452_L001_MINLEN-MAXLEN.q25_fixlized.fa	A157MaNtR5	F8	3.9996	R5	water	Nt	sink	x	x	sc_samples	80	no
S_165	A158MaNtR5_S453_L001_MINLEN-MAXLEN.q25_fixlized.fa	A158MaNtR5	x	R5	water	Nt	Ma	source	x	sc_samples	80	no	
S_166	A159MaCpR5_S463_L001_MINLEN-MAXLEN.q25_fixlized.fa	A159MaCpR5	G7	10	R5	water	Cp	sink	x	x	sc_samples	80	no
S_167	A160MaCpR5_S464_L001_MINLEN-MAXLEN.q25_fixlized.fa	A160MaCpR5	G8	10	R5	water	Cp	sink	x	x	sc_samples	80	no
S_168	A161MaCpR5_S465_L001_MINLEN-MAXLEN.q25_fixlized.fa	A161MaCpR5	G9	10	R5	water	Cp	sink	x	x	sc_samples	80	no
S_169	A162MaCpR5_S476_L001_MINLEN-MAXLEN.q25_fixlized.fa	A162MaCpR5	H8	10	R5	water	Cp	sink	x	x	sc_samples	80	no
S_17	A010CoCpR1_S326_L001_MINLEN-MAXLEN.q25_fixlized.fa	A010CoCpR1	D2	10	R1	water	Cp	sink	x	x	sc_samples	10	no
S_170	A163MaCpR5_S477_L001_MINLEN-MAXLEN.q25_fixlized.fa	A163MaCpR5	H9	10	R5	water	Cp	sink	x	x	sc_samples	80	no
S_171	A164MaCpR5_S394_L001_MINLEN-MAXLEN.q25_fixlized.fa	A164MaCpR5	A10	9.393	R5	water	Cp	sink	x	x	sc_samples	80	no
S_172	A165MaCpR5_S395_L001_MINLEN-MAXLEN.q25_fixlized.fa	A165MaCpR5	A11	6.5852	R5	water	Cp	sink	x	x	sc_samples	80	no
S_173	A166MaCpR5_S396_L001_MINLEN-MAXLEN.q25_fixlized.fa	A166MaCpR5	A12	5.01061	R5	water	Cp	sink	x	x	sc_samples	80	no
S_174	A167CoNtR6_S406_L001_MINLEN-MAXLEN.q25_fixlized.fa	A167CoNtR6	B10	10	R6	water	Nt	sink	x	x	sc_samples	108	no
S_175	A168CoNtR6_S407_L001_MINLEN-MAXLEN.q25_fixlized.fa	A168CoNtR6	B11	10	R6	water	Nt	sink	x	x	sc_samples	108	no
S_176	A169CoNtR6_S408_L001_MINLEN-MAXLEN.q25_fixlized.fa	A169CoNtR6	B12	10	R6	water	Nt	sink	x	x	sc_samples	108	no
S_177	A170CoNtR6_S418_L001_MINLEN-MAXLEN.q25_fixlized.fa	A170CoNtR6	C10	9.3728	R6	water	Nt	sink	x	x	sc_samples	108	no
S_178	A171CoNtR6_S419_L001_MINLEN-MAXLEN.q25_fixlized.fa	A171CoNtR6	C11	9.3728	R6	water	Nt	sink	x	x	sc_samples	108	no
S_179	A172CoNtR6_S420_L001_MINLEN-MAXLEN.q25_fixlized.fa	A172CoNtR6	C12	7.25281	R6	water	Nt	sink	x	x	sc_samples	108	no
S_18	A011CoCpR1_S327_L001_MINLEN-MAXLEN.q25_fixlized.fa	A011CoCpR1	D3	10	R1	water	Cp	sink	x	x	sc_samples	10	no
S_180	A173CoNtR6_S430_L001_MINLEN-MAXLEN.q25_fixlized.fa	A173CoNtR6	D10	4.5046	R6	water	Nt	sink	x	x	sc_samples	108	no
S_181	A174CoNtR6_S431_L001_MINLEN-MAXLEN.q25_fixlized.fa	A174CoNtR6	D11	8.5648	R6	water	Nt	sink	x	x	sc_samples	108	no
S_182	A175CoNtR6_S432_L001_MINLEN-MAXLEN.q25_fixlized.fa	A175CoNtR6	D12	5.57116	R6	water	Nt	sink	x	x	sc_samples	108	no
S_183	A176CoCpR6_S442_L001_MINLEN-MAXLEN.q25_fixlized.fa	A176CoCpR6	E10	7.7568	R6	water	Cp	sink	x	x	sc_samples	108	no
S_184	A177CoCpR6_S443_L001_MINLEN-MAXLEN.q25_fixlized.fa	A177CoCpR6	E11	10	R6	water	Cp	sink	x	x	sc_samples	108	no
S_185	A178CoCpR6_S444_L001_MINLEN-MAXLEN.q25_fixlized.fa	A178CoCpR6	E12	6.04081	R6	water	Cp	sink	x	x	sc_samples	108	no
S_186	A179CoCpR6_S454_L001_MINLEN-MAXLEN.q25_fixlized.fa	A179CoCpR6	F10	9.191	R6	water	Cp	sink	x	x	sc_samples	108	no
S_187	A180CoCpR6_S455_L001_MINLEN-MAXLEN.q25_fixlized.fa	A180CoCpR6	F11	10	R6	water	Cp	sink	x	x	sc_samples	108	no
S_188	A181CoCpR6_S456_L001_MINLEN-MAXLEN.q25_fixlized.fa	A181CoCpR6	F12	7.23766	R6	water	Cp	sink	x	x	sc_samples	108	no
S_189	A182CoCpR6_S466_L001_MINLEN-MAXLEN.q25_fixlized.fa	A182CoCpR6	G10	3.0098	R6	water	Cp	sink	x	x	sc_samples	108	no
S_19	A012CoCpR1_S337_L001_MINLEN-MAXLEN.q25_fixlized.fa	A012CoCpR1	E1	10	R1	water	Cp	sink	x	x	sc_samples	10	no
S_190	A183CoCpR6_S467_L001_MINLEN-MAXLEN.q25_fixlized.fa	A183CoCpR6	G11	8.8072	R6	water	Cp	sink	x	x	sc_samples	108	no
S_191	A184CoCpR6_S468_L001_MINLEN-MAXLEN.q25_fixlized.fa	A184CoCpR6	G12	6.28321	R6	water	Cp	sink	x	x	sc_samples	108	no
S_192	A185MaNtR6_S479_L001_MINLEN-MAXLEN.q25_fixlized.fa	A185MaNtR6	H11	10	R6	water	Nt	sink	x	x	sc_samples	108	no
S_193	A186MaNtR6_S480_L001_MINLEN-MAXLEN.q25_fixlized.fa	A186MaNtR6	H12	10	R6	water	Nt	sink	x	x	sc_samples	108	no
S_194	A187MaNtR6_S481_L001_MINLEN-MAXLEN.q25_fixlized.fa	A187MaNtR6	A1	10	R6	water	Nt	sink	x	x	sc_samples	108	no
S_195	A188MaNtR6_S482_L001_MINLEN-MAXLEN.q25_fixlized.fa	A188MaNtR6	A2	10	R6	water	Nt	sink	x	x	sc_samples	108	no
S_196	A189MaNtR6_S483_L001_MINLEN-MAXLEN.q25_fixlized.fa	A189MaNtR6	A3	10	R6	water	Nt	sink	x	x	sc_samples	108	no
S_197	A190MaCpR6_S493_L001_MINLEN-MAXLEN.q25_fixlized.fa	A190MaCpR6	B1	6.25291	R6	water	Cp	sink	x	x	sc_samples	108	no
S_198	A191MaCpR6_S494_L001_MINLEN-MAXLEN.q25_fixlized.fa	A191MaCpR6	B2	4.07131	R6	water	Cp	sink	x	x	sc_samples	108	no
