#SampleID	origin_id	id	well	concentration	rain_event	Env	soil_history	SourceSink	soil_layer	soil_event	sample_type	experiment_day	manure_and_control_soil	Proportion_manure	Proportion_SD_manure	Proportion_Nt	Proportion_SD_Nt	Proportion_Unknown	Proportion_SD_Unknown	Proportion_This_Env	Proportion_SD_This_Env
S_0	1_S487_L001_MINLEN-MAXLEN.q25_fixlized.fa	1_xshwaMaT0_1	A7	8.59	x	manure	x	source	x	x	hiseq	x	yes	NA	NA	NA	NA	NA	NA	NA	NA
S_1	2_S499_L001_MINLEN-MAXLEN.q25_fixlized.fa	2_xshwaMaT0_2	B7	7.17	x	manure	x	source	x	x	hiseq	x	yes	NA	NA	NA	NA	NA	NA	NA	NA
S_10	A003CoNtR1_S291_L001_MINLEN-MAXLEN.q25_fixlized.fa	A003CoNtR1	A3	3.2017	R1	water	Nt	sink	x	x	sc_samples	10	no	0.098	0	0.405	0.00707106781186544	0.497	0.00707106781186548	NA	NA
S_100	A093MaNtR3_S384_L001_MINLEN-MAXLEN.q25_fixlized.fa	A093MaNtR3	H12	10	R3	water	Nt	sink	x	x	sc_samples	38	no	0.2075	0.0106066017177982	0.1175	0.00353553390593273	0.675	0.014142135623731	NA	NA
S_101	A094MaCpR3_S385_L001_MINLEN-MAXLEN.q25_fixlized.fa	A094MaCpR3	A1	10	R3	water	Cp	sink	x	x	sc_samples	38	no	0.1385	0.00353553390593272	0.0635	0.000707106781186548	0.798	0.00424264068711929	NA	NA
S_102	A095MaCpR3_S386_L001_MINLEN-MAXLEN.q25_fixlized.fa	A095MaCpR3	A2	10	R3	water	Cp	sink	x	x	sc_samples	38	no	0.146	0.00707106781186546	0.037	0.00424264068711929	0.817	0.00282842712474627	NA	NA
S_103	A096MaCpR3_S387_L001_MINLEN-MAXLEN.q25_fixlized.fa	A096MaCpR3	A3	10	R3	water	Cp	sink	x	x	sc_samples	38	no	0.1585	0.000707106781186548	0.0325	0.00494974746830583	0.809	0.00565685424949231	NA	NA
S_104	A097MaCpR3_S397_L001_MINLEN-MAXLEN.q25_fixlized.fa	A097MaCpR3	B1	10	R3	water	Cp	sink	x	x	sc_samples	38	no	0.048	0.00707106781186547	0.0145	0.00636396103067893	0.9375	0.000707106781186548	NA	NA
S_105	A098MaCpR3_S398_L001_MINLEN-MAXLEN.q25_fixlized.fa	A098MaCpR3	B2	10	R3	water	Cp	sink	x	x	sc_samples	38	no	0.0675	0.00353553390593274	0.017	0.00424264068711928	0.9155	0.00777817459305203	NA	NA
S_106	A099MaCpR3_S399_L001_MINLEN-MAXLEN.q25_fixlized.fa	A099MaCpR3	B3	10	R3	water	Cp	sink	x	x	sc_samples	38	no	0.0545	0.00636396103067892	0	0	0.9455	0.00636396103067893	NA	NA
S_107	A100MaCpR3_S409_L001_MINLEN-MAXLEN.q25_fixlized.fa	A100MaCpR3	C1	5.0298	R3	water	Cp	sink	x	x	sc_samples	38	no	0.0505	0.00212132034355964	0.098	0	0.8515	0.00212132034355964	NA	NA
