id	project	name	bps	sequences	biome	feature	material	enviroment&nbsp;package	sequencing&nbsp;type	location	avg&nbsp;seq&nbsp;length		select
4447970.3	The oral metagenome in health and disease	CA_05_4.6	27669924	70503	human-associated habitat	human-associated habitat	human-associated habitat	human-oral	WGS	Valencia	392.464	public	
4447971.3	The oral metagenome in health and disease	CA_06_1.6	37519874	97722	human-associated habitat	human-associated habitat	human-associated habitat	human-oral	WGS	Valencia	383.945	public	
4440275.3	cDNA - Plymouth Marine Lab Coastal Waters project	1-19-DNA-flx	59316369	344216	marine habitat	marine habitat	marine habitat	water	WGS	coastal waters of a fjord close to Bergen, Norway	172.323	public	
4440276.3	cDNA - Plymouth Marine Lab Coastal Waters project	6-19-DNA-flx	68187679	304020	marine habitat	marine habitat	marine habitat	water	WGS	coastal waters of a fjord close to Bergen, Norway	224.287	public	
4440279.3	Northern Line Islands 	FannLIMic20050811	30909241	290844	marine habitat	marine habitat	marine habitat	water	WGS	Fanning (Tabuaeran) Atoll	106.274	public	
4440280.3	Northern Line Islands 	FannLIVir20050811	39607682	380355	marine habitat	marine habitat	marine habitat	water	WGS	Fanning (Tabuaeran) Atoll	104.133	public	
4440281.3	Soudan Mine Metagenome	RedSoudMineMic20050331	35439683	334386	mine drainage	mine drainage	mine drainage	sediment	WGS	Soudan Underground Mine, on the south shore of Lake Vermilion, MN	105.984	public	
4440282.3	Soudan Mine Metagenome	BlackSoudMineMic20050331	38502057	388627	mine drainage	mine drainage	mine drainage	sediment	WGS	Soudan Underground Mine, on the south shore of Lake Vermilion, MN	99.072	public	
4440283.3	Chicken Cecum Microbiome	Chicken Cecum A	32296796	310801	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Urbana, IL	103.915	public	
4440284.3	Chicken Cecum Microbiome	Chicken_Cecum_B	26378422	254712	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Urbana, IL	103.562	public	
4440285.3	Chicken Cecum Microbiome	Chicken Cecum A Contigs	3382776	27476	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Urbana, IL	123.117	public	
4440286.3	Chicken Cecum Microbiome	Chicken Cecum B Contigs	2487532	22821	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	WGS	Urbana, IL	109.002	public	
4440026.3	Human Lung Healthy vs Cystic Fibrosis Metagenome	CFLungPat001Rep1SDVir20060505	4090704	50909	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	WGS	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	80.353	public	
4440036.3	Northern Line Islands 	KingLIVir20050821	10283401	94915	marine habitat	marine habitat	marine habitat	water	WGS	Kingman Atoll	108.343	public	
4440037.3	Northern Line Islands 	KingLIMic20050821	19753735	188445	marine habitat	marine habitat	marine habitat	water	WGS	Kingman Atoll	104.825	public	
4440038.3	Northern Line Islands 	XmasLIVir20050805	31332362	283390	marine habitat	marine habitat	marine habitat	water	WGS	Christmas (Kiritimati) Atoll	110.563	public	
4440039.3	Northern Line Islands 	PalmLIMic20050818	37055255	351205	marine habitat	marine habitat	marine habitat	water	WGS	Palmyra Atoll	105.509	public	
4440040.3	Northern Line Islands 	PalmLIVir20050818	37461045	358983	marine habitat	marine habitat	marine habitat	water	WGS	Palmyra Atoll	104.353	public	
4440041.3	Northern Line Islands 	XmasLIMic20050805	23693344	227542	marine habitat	marine habitat	marine habitat	water	WGS	Christmas (Kiritimati) Atoll	104.127	public	
4440052.3	Mosquito Metagenome	Mosq1SDVir20060125	34895936	340098	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	WGS	unknown	102.606	public	
4440051.3	Human Lung Healthy vs Cystic Fibrosis Metagenome	CFLungPat001Rep2SDVir20060505	87736215	838932	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	WGS	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	104.581	public	
4440053.3	Mosquito Metagenome	MosqDigSDVir20060606	81923676	810301	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	WGS	unknown	101.103	public	
4440054.3	Mosquito Metagenome	Mosq2SDVir2060606	84803776	810891	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	WGS	unknown	104.581	public	
4440055.3	Aquacultured Fish (Kent State)	FishHealGutKentSTMic20060504	5076977	51498	Small lake biome	animal-associated habitat	bodily fluid	host-associated	WGS	San Diego University, San Diego, California	98.586	public	
4440056.3	Aquacultured Fish (Kent State)	FishMorGutKentSTMic20060504	5956666	60311	Small lake biome	animal-associated habitat	bodily fluid	host-associated	WGS	San Diego University, San Diego, California	98.766	public	
4440059.3	Aquacultured Fish (Kent State)	FishHealSlimKentSTMic20060504	6566476	66066	Small lake biome	animal-associated habitat	bodily fluid	host-associated	WGS	San Diego University, San Diego, California	99.393	public	
4440066.3	Aquacultured Fish (Kent State)	FishMorSlimKentSTMic20060504	8240160	82442	Small lake biome	animal-associated habitat	bodily fluid	host-associated	WGS	San Diego University, San Diego, California	99.951	public	
4440062.3	Aquacultured Fish (Kent State)	FishHealGutKentSTVir20060504	5323566	47139	Small lake biome	animal-associated habitat	bodily fluid	host-associated	WGS	San Diego University, San Diego, California	112.933	public	
4440063.3	Aquacultured Fish (Kent State)	FishMorGutKentSTVir20060504	6199663	53750	Small lake biome	animal-associated habitat	bodily fluid	host-associated	WGS	San Diego University, San Diego, California	115.343	public	
4440065.3	Aquacultured Fish (Kent State)	FishHealSlimKentSTVir20060504	6052526	61476	Small lake biome	animal-associated habitat	bodily fluid	host-associated	WGS	San Diego University, San Diego, California	98.453	public	
4440064.3	Aquacultured Fish (Kent State)	FishMorSlimKentSTVir20060504	5909984	60111	Small lake biome	animal-associated habitat	bodily fluid	host-associated	WGS	San Diego University, San Diego, California	98.318	public	
4440061.3	Microbialites	HBCStromBahamasMic20050111	26691593	257573	marine habitat	marine habitat	marine habitat	unknown	WGS	Highborne Cay Island	103.627	public	
